nc6_threshold,nc10_threshold,uni6_threshold,uni10_threshold,accuracy
6,12,0.3,0.6,0.7817059483726151
6,16,0.3,0.6,0.7811447811447811
6,14,0.3,0.6,0.7811447811447811
6,12,0.35,0.6,0.7805836139169473
6,16,0.35,0.6,0.7800224466891134
6,14,0.35,0.6,0.7800224466891134
6,16,0.3,0.55,0.7772166105499438
6,16,0.35,0.55,0.77665544332211
6,16,0.3,0.5,0.7682379349046016
6,16,0.35,0.5,0.7676767676767676
6,16,0.3,0.4,0.7665544332210998
6,16,0.3,0.45,0.7665544332210998
6,16,0.35,0.4,0.765993265993266
6,16,0.35,0.45,0.765993265993266
6,14,0.3,0.55,0.7631874298540965
6,14,0.35,0.55,0.7626262626262627
6,12,0.4,0.6,0.7564534231200898
6,14,0.4,0.6,0.7558922558922558
6,16,0.4,0.6,0.7558922558922558
6,16,0.4,0.55,0.7530864197530864
6,14,0.3,0.5,0.7519640852974186
6,14,0.35,0.5,0.7514029180695847
6,18,0.3,0.6,0.7497194163860831
6,18,0.35,0.6,0.7491582491582491
6,18,0.35,0.55,0.7480359147025814
6,18,0.3,0.55,0.7480359147025814
6,16,0.4,0.5,0.7474747474747475
6,12,0.3,0.55,0.7463524130190797
6,12,0.35,0.55,0.7457912457912458
6,14,0.3,0.45,0.7457912457912458
6,16,0.4,0.45,0.7457912457912458
6,16,0.4,0.4,0.7457912457912458
6,14,0.35,0.45,0.745230078563412
6,14,0.3,0.4,0.7435465768799102
6,18,0.35,0.5,0.7435465768799102
6,18,0.3,0.5,0.7435465768799102
6,18,0.3,0.45,0.7429854096520763
6,18,0.35,0.45,0.7429854096520763
6,18,0.35,0.4,0.7429854096520763
6,18,0.3,0.4,0.7429854096520763
6,14,0.35,0.4,0.7429854096520763
6,14,0.4,0.55,0.7401795735129069
6,14,0.4,0.5,0.7328843995510662
6,18,0.4,0.6,0.7278338945005611
6,14,0.4,0.45,0.7272727272727273
6,18,0.4,0.55,0.7267115600448933
6,14,0.4,0.4,0.7261503928170595
6,12,0.4,0.55,0.7244668911335578
6,18,0.4,0.5,0.7244668911335578
6,18,0.4,0.45,0.7239057239057239
6,18,0.4,0.4,0.7239057239057239
6,12,0.3,0.5,0.7143658810325477
6,12,0.35,0.5,0.7138047138047138
6,12,0.3,0.45,0.7042648709315376
6,12,0.35,0.45,0.7037037037037037
6,12,0.3,0.4,0.6992143658810326
6,12,0.4,0.5,0.6992143658810326
6,12,0.35,0.4,0.6986531986531986
6,20,0.3,0.6,0.6958473625140292
6,20,0.35,0.6,0.6947250280583613
6,20,0.3,0.4,0.6936026936026936
6,20,0.3,0.45,0.6936026936026936
6,20,0.3,0.5,0.6936026936026936
6,20,0.3,0.55,0.6936026936026936
6,20,0.35,0.55,0.6930415263748597
6,20,0.35,0.5,0.6930415263748597
6,20,0.35,0.45,0.6930415263748597
6,20,0.35,0.4,0.6930415263748597
6,12,0.4,0.45,0.691358024691358
6,12,0.4,0.4,0.6891133557800224
6,20,0.4,0.6,0.6767676767676768
6,20,0.4,0.55,0.6750841750841751
6,20,0.4,0.45,0.6750841750841751
6,20,0.4,0.5,0.6750841750841751
6,20,0.4,0.4,0.6750841750841751
6,12,0.45,0.6,0.6509539842873177
6,14,0.45,0.6,0.6503928170594837
6,14,0.45,0.55,0.6481481481481481
6,16,0.45,0.55,0.6459034792368126
6,14,0.45,0.5,0.6459034792368126
6,16,0.45,0.6,0.6459034792368126
6,14,0.45,0.45,0.643658810325477
6,16,0.45,0.4,0.643658810325477
6,16,0.45,0.45,0.643658810325477
6,16,0.45,0.5,0.643658810325477
6,14,0.45,0.4,0.6425364758698092
6,12,0.45,0.55,0.6425364758698092
6,12,0.45,0.5,0.6363636363636364
6,12,0.45,0.45,0.6335578002244668
6,12,0.45,0.4,0.632435465768799
6,18,0.45,0.6,0.6273849607182941
6,18,0.45,0.55,0.6273849607182941
6,18,0.45,0.4,0.6268237934904601
6,18,0.45,0.45,0.6268237934904601
6,18,0.45,0.5,0.6268237934904601
6,22,0.3,0.55,0.6043771043771043
6,22,0.3,0.4,0.6043771043771043
6,22,0.3,0.5,0.6043771043771043
6,22,0.3,0.45,0.6043771043771043
6,22,0.35,0.55,0.6038159371492705
6,22,0.35,0.4,0.6038159371492705
6,22,0.3,0.6,0.6038159371492705
6,22,0.35,0.45,0.6038159371492705
6,22,0.35,0.5,0.6038159371492705
6,22,0.35,0.6,0.6032547699214366
6,12,0.5,0.6,0.5993265993265994
6,14,0.5,0.6,0.5982042648709316
6,20,0.45,0.6,0.5970819304152637
6,20,0.45,0.5,0.5959595959595959
6,14,0.5,0.55,0.5959595959595959
6,12,0.5,0.55,0.5959595959595959
6,20,0.45,0.45,0.5959595959595959
6,20,0.45,0.4,0.5959595959595959
6,20,0.45,0.55,0.5959595959595959
6,14,0.5,0.5,0.5953984287317621
6,16,0.5,0.6,0.5948372615039281
6,14,0.5,0.45,0.5937149270482603
6,14,0.5,0.4,0.5937149270482603
6,12,0.5,0.5,0.5937149270482603
6,22,0.4,0.5,0.5931537598204265
6,16,0.5,0.55,0.5931537598204265
6,22,0.4,0.55,0.5931537598204265
6,22,0.4,0.45,0.5931537598204265
6,22,0.4,0.4,0.5931537598204265
6,22,0.4,0.6,0.5925925925925926
6,16,0.5,0.45,0.5925925925925926
6,16,0.5,0.5,0.5925925925925926
6,16,0.5,0.4,0.5925925925925926
6,12,0.5,0.45,0.5920314253647587
6,12,0.5,0.4,0.5920314253647587
7,12,0.3,0.6,0.5909090909090909
7,12,0.35,0.6,0.590347923681257
7,14,0.3,0.6,0.5897867564534232
7,12,0.4,0.6,0.5897867564534232
7,14,0.35,0.6,0.5892255892255892
7,14,0.3,0.55,0.5892255892255892
7,14,0.4,0.6,0.5886644219977554
7,14,0.35,0.55,0.5886644219977554
7,14,0.4,0.55,0.5881032547699214
7,14,0.3,0.5,0.5881032547699214
7,14,0.35,0.5,0.5875420875420876
7,14,0.4,0.5,0.5869809203142536
7,14,0.3,0.45,0.5864197530864198
7,12,0.45,0.6,0.5864197530864198
7,14,0.35,0.45,0.5858585858585859
7,14,0.4,0.45,0.5852974186307519
7,14,0.45,0.6,0.5852974186307519
7,14,0.3,0.4,0.5852974186307519
7,14,0.45,0.55,0.5852974186307519
7,16,0.3,0.6,0.5847362514029181
7,16,0.3,0.55,0.5847362514029181
7,14,0.35,0.4,0.5847362514029181
7,16,0.35,0.55,0.5841750841750841
6,18,0.5,0.6,0.5841750841750841
7,14,0.4,0.4,0.5841750841750841
7,16,0.35,0.6,0.5841750841750841
7,14,0.45,0.5,0.5841750841750841
7,12,0.3,0.55,0.5841750841750841
7,16,0.4,0.6,0.5836139169472503
6,18,0.5,0.5,0.5836139169472503
6,18,0.5,0.4,0.5836139169472503
7,16,0.4,0.55,0.5836139169472503
6,18,0.5,0.45,0.5836139169472503
7,12,0.35,0.55,0.5836139169472503
7,12,0.4,0.55,0.5830527497194163
7,16,0.3,0.5,0.5830527497194163
7,16,0.3,0.45,0.5830527497194163
7,16,0.3,0.4,0.5830527497194163
7,16,0.35,0.5,0.5824915824915825
7,14,0.45,0.45,0.5824915824915825
6,18,0.5,0.55,0.5824915824915825
7,16,0.35,0.4,0.5824915824915825
7,16,0.35,0.45,0.5824915824915825
7,16,0.4,0.5,0.5819304152637486
7,16,0.4,0.45,0.5819304152637486
7,16,0.4,0.4,0.5819304152637486
7,14,0.45,0.4,0.5813692480359147
7,16,0.45,0.55,0.5808080808080808
7,12,0.45,0.55,0.5808080808080808
7,16,0.45,0.6,0.5802469135802469
7,16,0.45,0.5,0.5791245791245792
7,16,0.45,0.45,0.5791245791245792
7,16,0.45,0.4,0.5791245791245792
7,12,0.3,0.5,0.5791245791245792
7,12,0.35,0.5,0.5785634118967452
7,12,0.4,0.5,0.5780022446689114
7,12,0.3,0.45,0.5768799102132436
7,12,0.45,0.5,0.5763187429854096
7,12,0.35,0.45,0.5763187429854096
7,12,0.3,0.4,0.5757575757575758
7,12,0.4,0.45,0.5757575757575758
7,12,0.35,0.4,0.5751964085297419
7,12,0.4,0.4,0.574635241301908
7,12,0.45,0.45,0.574635241301908
7,12,0.45,0.4,0.5735129068462402
7,18,0.3,0.6,0.5701459034792368
7,18,0.3,0.55,0.5701459034792368
7,18,0.35,0.6,0.5695847362514029
7,18,0.3,0.4,0.5695847362514029
7,18,0.3,0.45,0.5695847362514029
7,18,0.3,0.5,0.5695847362514029
7,18,0.35,0.55,0.5695847362514029
7,18,0.35,0.4,0.569023569023569
7,18,0.35,0.5,0.569023569023569
7,18,0.4,0.6,0.569023569023569
7,18,0.35,0.45,0.569023569023569
7,18,0.4,0.55,0.569023569023569
7,18,0.4,0.5,0.5684624017957352
7,18,0.4,0.45,0.5684624017957352
7,18,0.4,0.4,0.5684624017957352
7,18,0.45,0.55,0.5662177328843996
7,18,0.45,0.5,0.5656565656565656
7,18,0.45,0.45,0.5656565656565656
7,18,0.45,0.6,0.5656565656565656
7,18,0.45,0.4,0.5656565656565656
6,20,0.5,0.6,0.5650953984287318
6,20,0.5,0.4,0.5634118967452301
6,20,0.5,0.55,0.5634118967452301
6,20,0.5,0.45,0.5634118967452301
6,20,0.5,0.5,0.5634118967452301
6,22,0.45,0.45,0.5488215488215489
6,22,0.45,0.55,0.5488215488215489
6,22,0.45,0.5,0.5488215488215489
6,22,0.45,0.4,0.5488215488215489
6,22,0.45,0.6,0.5482603815937149
7,12,0.5,0.6,0.5443322109988776
7,14,0.5,0.6,0.5437710437710438
7,14,0.5,0.55,0.5432098765432098
7,14,0.5,0.5,0.5432098765432098
7,20,0.3,0.6,0.5432098765432098
7,20,0.35,0.6,0.542648709315376
7,12,0.5,0.55,0.542648709315376
7,14,0.5,0.4,0.5420875420875421
7,20,0.4,0.6,0.5420875420875421
7,14,0.5,0.45,0.5420875420875421
7,20,0.3,0.5,0.5415263748597082
7,12,0.5,0.5,0.5415263748597082
7,20,0.3,0.55,0.5415263748597082
7,20,0.3,0.45,0.5415263748597082
7,20,0.3,0.4,0.5415263748597082
7,20,0.35,0.5,0.5409652076318743
7,20,0.35,0.45,0.5409652076318743
7,16,0.5,0.6,0.5409652076318743
7,20,0.35,0.55,0.5409652076318743
7,20,0.35,0.4,0.5409652076318743
7,12,0.5,0.4,0.5404040404040404
7,12,0.5,0.45,0.5404040404040404
7,20,0.4,0.5,0.5404040404040404
7,20,0.4,0.4,0.5404040404040404
7,20,0.4,0.55,0.5404040404040404
7,20,0.4,0.45,0.5404040404040404
7,16,0.5,0.55,0.5404040404040404
7,16,0.5,0.5,0.5398428731762065
7,16,0.5,0.45,0.5398428731762065
7,16,0.5,0.4,0.5398428731762065
7,20,0.45,0.6,0.5392817059483727
7,20,0.45,0.55,0.5381593714927049
7,20,0.45,0.45,0.5381593714927049
7,20,0.45,0.5,0.5381593714927049
7,20,0.45,0.4,0.5381593714927049
7,18,0.5,0.6,0.5331088664421998
7,18,0.5,0.5,0.5331088664421998
7,18,0.5,0.45,0.5331088664421998
7,18,0.5,0.4,0.5331088664421998
7,18,0.5,0.55,0.5325476992143658
6,22,0.5,0.5,0.5286195286195287
6,22,0.5,0.55,0.5286195286195287
6,22,0.5,0.6,0.5286195286195287
6,22,0.5,0.4,0.5286195286195287
6,22,0.5,0.45,0.5286195286195287
7,20,0.5,0.6,0.5151515151515151
6,24,0.3,0.55,0.5145903479236813
6,24,0.3,0.4,0.5145903479236813
6,24,0.3,0.45,0.5145903479236813
6,24,0.3,0.6,0.5145903479236813
6,24,0.3,0.5,0.5145903479236813
6,24,0.35,0.6,0.5140291806958474
7,20,0.5,0.55,0.5140291806958474
6,24,0.35,0.4,0.5140291806958474
6,24,0.35,0.55,0.5140291806958474
6,24,0.35,0.5,0.5140291806958474
6,24,0.35,0.45,0.5140291806958474
7,20,0.5,0.45,0.5140291806958474
7,20,0.5,0.5,0.5140291806958474
7,20,0.5,0.4,0.5140291806958474
6,24,0.4,0.5,0.5095398428731762
6,24,0.4,0.4,0.5095398428731762
6,24,0.4,0.55,0.5095398428731762
6,24,0.4,0.6,0.5095398428731762
6,24,0.4,0.45,0.5095398428731762
7,22,0.3,0.5,0.5067340067340067
7,22,0.3,0.55,0.5067340067340067
7,22,0.3,0.45,0.5067340067340067
7,22,0.3,0.4,0.5067340067340067
7,22,0.3,0.6,0.5067340067340067
7,22,0.35,0.4,0.5061728395061729
7,22,0.35,0.45,0.5061728395061729
7,22,0.35,0.5,0.5061728395061729
7,22,0.35,0.55,0.5061728395061729
7,22,0.35,0.6,0.5061728395061729
7,22,0.4,0.6,0.5056116722783389
7,22,0.4,0.55,0.5056116722783389
7,22,0.4,0.4,0.5056116722783389
7,22,0.4,0.45,0.5056116722783389
7,22,0.4,0.5,0.5056116722783389
7,22,0.45,0.55,0.5033670033670034
7,22,0.45,0.4,0.5033670033670034
7,22,0.45,0.5,0.5033670033670034
7,22,0.45,0.45,0.5033670033670034
7,22,0.45,0.6,0.5033670033670034
6,24,0.45,0.6,0.4882154882154882
7,22,0.5,0.5,0.4882154882154882
7,22,0.5,0.6,0.4882154882154882
7,22,0.5,0.4,0.4882154882154882
7,22,0.5,0.55,0.4882154882154882
7,22,0.5,0.45,0.4882154882154882
6,24,0.45,0.4,0.4882154882154882
6,24,0.45,0.55,0.4882154882154882
6,24,0.45,0.5,0.4882154882154882
6,24,0.45,0.45,0.4882154882154882
6,24,0.5,0.45,0.4764309764309764
6,24,0.5,0.4,0.4764309764309764
6,24,0.5,0.6,0.4764309764309764
6,24,0.5,0.55,0.4764309764309764
6,24,0.5,0.5,0.4764309764309764
8,14,0.35,0.6,0.4595959595959596
8,14,0.4,0.5,0.4595959595959596
8,14,0.35,0.5,0.4595959595959596
8,14,0.45,0.6,0.4595959595959596
8,14,0.3,0.6,0.4595959595959596
8,14,0.3,0.5,0.4595959595959596
8,14,0.4,0.6,0.4595959595959596
8,14,0.45,0.5,0.4595959595959596
8,16,0.45,0.45,0.4590347923681257
8,16,0.45,0.5,0.4590347923681257
8,16,0.4,0.45,0.4590347923681257
8,16,0.4,0.4,0.4590347923681257
8,16,0.35,0.6,0.4590347923681257
8,14,0.3,0.45,0.4590347923681257
8,16,0.45,0.4,0.4590347923681257
8,16,0.4,0.5,0.4590347923681257
8,16,0.4,0.6,0.4590347923681257
8,14,0.45,0.55,0.4590347923681257
8,14,0.35,0.55,0.4590347923681257
8,12,0.3,0.6,0.4590347923681257
8,12,0.4,0.6,0.4590347923681257
8,12,0.35,0.6,0.4590347923681257
8,14,0.3,0.4,0.4590347923681257
8,12,0.45,0.6,0.4590347923681257
8,16,0.35,0.5,0.4590347923681257
8,16,0.35,0.45,0.4590347923681257
8,16,0.35,0.4,0.4590347923681257
8,16,0.3,0.6,0.4590347923681257
8,16,0.3,0.45,0.4590347923681257
8,16,0.3,0.5,0.4590347923681257
8,14,0.3,0.55,0.4590347923681257
8,16,0.45,0.6,0.4590347923681257
8,14,0.45,0.45,0.4590347923681257
8,14,0.4,0.45,0.4590347923681257
8,14,0.4,0.55,0.4590347923681257
8,14,0.45,0.4,0.4590347923681257
8,16,0.3,0.4,0.4590347923681257
8,14,0.4,0.4,0.4590347923681257
8,14,0.35,0.4,0.4590347923681257
8,14,0.35,0.45,0.4590347923681257
8,16,0.4,0.55,0.45847362514029183
8,16,0.45,0.55,0.45847362514029183
8,16,0.35,0.55,0.45847362514029183
8,16,0.3,0.55,0.45847362514029183
8,12,0.35,0.55,0.45735129068462405
8,12,0.3,0.5,0.45735129068462405
8,12,0.35,0.5,0.45735129068462405
8,12,0.45,0.55,0.45735129068462405
8,12,0.45,0.5,0.45735129068462405
8,12,0.3,0.55,0.45735129068462405
8,12,0.4,0.5,0.45735129068462405
8,12,0.4,0.55,0.45735129068462405
7,24,0.3,0.6,0.4567901234567901
8,12,0.4,0.4,0.4567901234567901
7,24,0.3,0.45,0.4567901234567901
7,24,0.3,0.5,0.4567901234567901
7,24,0.3,0.55,0.4567901234567901
8,12,0.45,0.45,0.4567901234567901
8,12,0.4,0.45,0.4567901234567901
7,24,0.3,0.4,0.4567901234567901
8,12,0.3,0.45,0.4567901234567901
8,12,0.3,0.4,0.4567901234567901
8,12,0.35,0.45,0.4567901234567901
8,12,0.45,0.4,0.4567901234567901
8,12,0.35,0.4,0.4567901234567901
8,14,0.5,0.5,0.4567901234567901
8,14,0.5,0.6,0.4567901234567901
8,16,0.5,0.45,0.4562289562289562
8,16,0.5,0.4,0.4562289562289562
8,18,0.3,0.6,0.4562289562289562
8,16,0.5,0.5,0.4562289562289562
7,24,0.35,0.55,0.4562289562289562
7,24,0.35,0.5,0.4562289562289562
8,18,0.4,0.45,0.4562289562289562
8,18,0.4,0.5,0.4562289562289562
8,18,0.4,0.6,0.4562289562289562
8,18,0.45,0.4,0.4562289562289562
8,18,0.35,0.6,0.4562289562289562
8,18,0.35,0.5,0.4562289562289562
7,24,0.35,0.6,0.4562289562289562
8,18,0.4,0.4,0.4562289562289562
8,18,0.45,0.6,0.4562289562289562
8,16,0.5,0.6,0.4562289562289562
8,18,0.35,0.45,0.4562289562289562
8,18,0.35,0.4,0.4562289562289562
8,18,0.45,0.5,0.4562289562289562
8,12,0.5,0.6,0.4562289562289562
8,14,0.5,0.4,0.4562289562289562
8,18,0.45,0.45,0.4562289562289562
8,18,0.3,0.4,0.4562289562289562
8,18,0.3,0.5,0.4562289562289562
8,14,0.5,0.45,0.4562289562289562
8,14,0.5,0.55,0.4562289562289562
8,18,0.3,0.45,0.4562289562289562
7,24,0.35,0.45,0.4562289562289562
7,24,0.35,0.4,0.4562289562289562
8,16,0.5,0.55,0.4556677890011223
8,18,0.3,0.55,0.4556677890011223
8,18,0.45,0.55,0.4556677890011223
7,24,0.4,0.45,0.4556677890011223
7,24,0.4,0.5,0.4556677890011223
7,24,0.4,0.55,0.4556677890011223
7,24,0.4,0.6,0.4556677890011223
8,12,0.5,0.5,0.4556677890011223
7,24,0.4,0.4,0.4556677890011223
8,18,0.35,0.55,0.4556677890011223
8,18,0.4,0.55,0.4556677890011223
8,12,0.5,0.4,0.4551066217732884
8,12,0.5,0.55,0.4551066217732884
8,12,0.5,0.45,0.4551066217732884
7,24,0.45,0.4,0.45454545454545453
7,24,0.45,0.55,0.45454545454545453
7,24,0.45,0.6,0.45454545454545453
7,24,0.45,0.5,0.45454545454545453
7,24,0.45,0.45,0.45454545454545453
8,18,0.5,0.4,0.45342312008978675
8,18,0.5,0.45,0.45342312008978675
8,18,0.5,0.5,0.45342312008978675
8,18,0.5,0.6,0.45342312008978675
8,18,0.5,0.55,0.45286195286195285
8,20,0.3,0.6,0.4483726150392817
8,20,0.4,0.6,0.4483726150392817
8,20,0.45,0.6,0.4483726150392817
8,20,0.35,0.6,0.4483726150392817
7,24,0.5,0.45,0.44725028058361394
8,20,0.35,0.5,0.44725028058361394
7,24,0.5,0.5,0.44725028058361394
7,24,0.5,0.6,0.44725028058361394
7,24,0.5,0.4,0.44725028058361394
8,20,0.35,0.55,0.44725028058361394
7,24,0.5,0.55,0.44725028058361394
8,20,0.3,0.45,0.44725028058361394
8,20,0.35,0.4,0.44725028058361394
8,20,0.4,0.45,0.44725028058361394
8,20,0.35,0.45,0.44725028058361394
8,20,0.3,0.4,0.44725028058361394
8,20,0.3,0.5,0.44725028058361394
8,20,0.3,0.55,0.44725028058361394
8,20,0.45,0.55,0.44725028058361394
8,20,0.4,0.4,0.44725028058361394
8,20,0.4,0.5,0.44725028058361394
8,20,0.45,0.5,0.44725028058361394
8,20,0.4,0.55,0.44725028058361394
8,20,0.45,0.45,0.44725028058361394
8,20,0.45,0.4,0.44725028058361394
8,20,0.5,0.6,0.44668911335578004
8,20,0.5,0.5,0.44556677890011226
8,20,0.5,0.45,0.44556677890011226
8,20,0.5,0.55,0.44556677890011226
8,20,0.5,0.4,0.44556677890011226
8,22,0.4,0.6,0.4332210998877666
8,22,0.35,0.6,0.4332210998877666
8,22,0.45,0.6,0.4332210998877666
8,22,0.3,0.6,0.4332210998877666
8,22,0.45,0.45,0.43265993265993263
8,22,0.4,0.4,0.43265993265993263
8,22,0.45,0.4,0.43265993265993263
8,22,0.3,0.4,0.43265993265993263
8,22,0.3,0.5,0.43265993265993263
8,22,0.35,0.4,0.43265993265993263
8,22,0.35,0.5,0.43265993265993263
8,22,0.35,0.45,0.43265993265993263
8,22,0.3,0.45,0.43265993265993263
8,22,0.4,0.55,0.43265993265993263
8,22,0.4,0.45,0.43265993265993263
8,22,0.4,0.5,0.43265993265993263
8,22,0.35,0.55,0.43265993265993263
8,22,0.45,0.5,0.43265993265993263
8,22,0.45,0.55,0.43265993265993263
8,22,0.3,0.55,0.43265993265993263
8,22,0.5,0.6,0.43209876543209874
8,22,0.5,0.4,0.43153759820426485
8,22,0.5,0.45,0.43153759820426485
8,22,0.5,0.5,0.43153759820426485
8,22,0.5,0.55,0.43153759820426485
8,24,0.3,0.45,0.4102132435465769
8,24,0.35,0.4,0.4102132435465769
8,24,0.35,0.45,0.4102132435465769
8,24,0.35,0.5,0.4102132435465769
8,24,0.45,0.5,0.4102132435465769
8,24,0.45,0.55,0.4102132435465769
8,24,0.45,0.6,0.4102132435465769
8,24,0.35,0.6,0.4102132435465769
8,24,0.4,0.5,0.4102132435465769
8,24,0.45,0.4,0.4102132435465769
8,24,0.4,0.6,0.4102132435465769
8,24,0.4,0.55,0.4102132435465769
8,24,0.45,0.45,0.4102132435465769
8,24,0.3,0.5,0.4102132435465769
8,24,0.3,0.55,0.4102132435465769
8,24,0.3,0.4,0.4102132435465769
8,24,0.3,0.6,0.4102132435465769
8,24,0.4,0.4,0.4102132435465769
8,24,0.4,0.45,0.4102132435465769
8,24,0.35,0.55,0.4102132435465769
8,24,0.5,0.4,0.4090909090909091
8,24,0.5,0.45,0.4090909090909091
8,24,0.5,0.5,0.4090909090909091
8,24,0.5,0.55,0.4090909090909091
8,24,0.5,0.6,0.4090909090909091
9,16,0.45,0.6,0.3945005611672278
9,14,0.45,0.55,0.3945005611672278
9,14,0.5,0.5,0.3945005611672278
9,14,0.45,0.5,0.3945005611672278
9,16,0.5,0.4,0.3945005611672278
9,16,0.5,0.45,0.3945005611672278
9,16,0.5,0.5,0.3945005611672278
9,16,0.5,0.55,0.3945005611672278
9,16,0.5,0.6,0.3945005611672278
9,16,0.45,0.5,0.3945005611672278
9,16,0.45,0.55,0.3945005611672278
9,14,0.5,0.6,0.3945005611672278
9,14,0.5,0.55,0.3945005611672278
9,16,0.3,0.5,0.3945005611672278
9,16,0.3,0.55,0.3945005611672278
9,16,0.3,0.4,0.3945005611672278
9,16,0.3,0.45,0.3945005611672278
9,14,0.4,0.4,0.3945005611672278
9,14,0.4,0.45,0.3945005611672278
9,14,0.4,0.5,0.3945005611672278
9,14,0.4,0.55,0.3945005611672278
9,14,0.4,0.6,0.3945005611672278
9,14,0.45,0.4,0.3945005611672278
9,14,0.45,0.45,0.3945005611672278
9,16,0.45,0.45,0.3945005611672278
9,12,0.4,0.6,0.3945005611672278
9,12,0.4,0.55,0.3945005611672278
9,12,0.4,0.5,0.3945005611672278
9,14,0.3,0.55,0.3945005611672278
9,14,0.3,0.6,0.3945005611672278
9,14,0.35,0.4,0.3945005611672278
9,12,0.3,0.4,0.3945005611672278
9,12,0.3,0.45,0.3945005611672278
9,12,0.3,0.5,0.3945005611672278
9,12,0.3,0.55,0.3945005611672278
9,12,0.3,0.6,0.3945005611672278
9,12,0.35,0.4,0.3945005611672278
9,12,0.35,0.45,0.3945005611672278
9,12,0.35,0.5,0.3945005611672278
9,12,0.35,0.55,0.3945005611672278
9,12,0.35,0.6,0.3945005611672278
9,12,0.4,0.4,0.3945005611672278
9,12,0.4,0.45,0.3945005611672278
9,14,0.45,0.6,0.3945005611672278
9,14,0.5,0.4,0.3945005611672278
9,14,0.5,0.45,0.3945005611672278
9,12,0.45,0.4,0.3945005611672278
9,12,0.45,0.45,0.3945005611672278
9,12,0.45,0.5,0.3945005611672278
9,12,0.45,0.55,0.3945005611672278
9,12,0.45,0.6,0.3945005611672278
9,12,0.5,0.4,0.3945005611672278
9,12,0.5,0.45,0.3945005611672278
9,12,0.5,0.5,0.3945005611672278
9,12,0.5,0.55,0.3945005611672278
9,12,0.5,0.6,0.3945005611672278
9,14,0.3,0.4,0.3945005611672278
9,14,0.3,0.45,0.3945005611672278
9,14,0.3,0.5,0.3945005611672278
9,16,0.4,0.4,0.3945005611672278
9,16,0.4,0.45,0.3945005611672278
9,16,0.4,0.5,0.3945005611672278
9,14,0.35,0.45,0.3945005611672278
9,14,0.35,0.5,0.3945005611672278
9,14,0.35,0.55,0.3945005611672278
9,14,0.35,0.6,0.3945005611672278
9,16,0.3,0.6,0.3945005611672278
9,16,0.35,0.4,0.3945005611672278
9,16,0.35,0.45,0.3945005611672278
9,16,0.35,0.5,0.3945005611672278
9,16,0.35,0.55,0.3945005611672278
9,16,0.35,0.6,0.3945005611672278
9,16,0.45,0.4,0.3945005611672278
9,16,0.4,0.6,0.3945005611672278
9,16,0.4,0.55,0.3945005611672278
9,18,0.3,0.4,0.39337822671156003
9,18,0.3,0.5,0.39337822671156003
9,18,0.3,0.45,0.39337822671156003
9,18,0.3,0.55,0.39337822671156003
9,18,0.35,0.5,0.39337822671156003
9,18,0.35,0.55,0.39337822671156003
9,18,0.35,0.6,0.39337822671156003
9,18,0.4,0.4,0.39337822671156003
9,18,0.4,0.45,0.39337822671156003
9,18,0.4,0.5,0.39337822671156003
9,18,0.4,0.55,0.39337822671156003
9,18,0.4,0.6,0.39337822671156003
9,18,0.5,0.6,0.39337822671156003
9,18,0.5,0.4,0.39337822671156003
9,18,0.5,0.45,0.39337822671156003
9,18,0.5,0.5,0.39337822671156003
9,18,0.5,0.55,0.39337822671156003
9,18,0.3,0.6,0.39337822671156003
9,18,0.35,0.4,0.39337822671156003
